Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,56,72603,6055719,Ventura,Simi Valley Unified,Katherine Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,368,91,24.7%,116,31.5%,356,89,25.0%,113,31.7%,Y
2016-2017,56,72603,6055727,Ventura,Simi Valley Unified,Knolls Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,253,61,24.1%,83,32.8%,253,61,24.1%,83,32.8%,Y
2016-2017,56,72603,6055743,Ventura,Simi Valley Unified,Madera Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,408,89,21.8%,125,30.6%,392,88,22.4%,120,30.6%,Y
2016-2017,56,72603,6055750,Ventura,Simi Valley Unified,Mountain View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,313,109,34.8%,135,43.1%,299,104,34.8%,130,43.5%,Y
2016-2017,56,72603,6055768,Ventura,Simi Valley Unified,Park View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,381,262,68.8%,300,78.7%,369,258,69.9%,293,79.4%,Y
2016-2017,56,72603,6055776,Ventura,Simi Valley Unified,Santa Susana Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,318,195,61.3%,230,72.3%,309,189,61.2%,224,72.5%,Y
2016-2017,56,72603,6055792,Ventura,Simi Valley Unified,Sycamore Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,393,108,27.5%,142,36.1%,381,106,27.8%,140,36.7%,Y
2016-2017,56,72603,6055800,Ventura,Simi Valley Unified,Township Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,580,109,18.8%,138,23.8%,562,105,18.7%,134,23.8%,Y
2016-2017,56,72603,6055818,Ventura,Simi Valley Unified,Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,670,58,8.7%,86,12.8%,670,58,8.7%,86,12.8%,Y
2016-2017,56,72603,6060354,Ventura,Simi Valley Unified,Sinaloa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,919,233,25.4%,314,34.2%,919,233,25.4%,314,34.2%,Y
2016-2017,56,72603,6060362,Ventura,Simi Valley Unified,Valley View Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1247,233,18.7%,335,26.9%,1247,233,18.7%,335,26.9%,Y
2016-2017,56,72603,6067292,Ventura,Simi Valley Unified,White Oak Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,472,93,19.7%,127,26.9%,462,92,19.9%,125,27.1%,Y
2016-2017,56,72603,6084917,Ventura,Simi Valley Unified,Atherwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,521,56,10.7%,76,14.6%,521,56,10.7%,76,14.6%,Y
2016-2017,56,72603,6084925,Ventura,Simi Valley Unified,Hillside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,956,253,26.5%,328,34.3%,956,253,26.5%,328,34.3%,Y
2016-2017,56,72603,6115653,Ventura,Simi Valley Unified,Wood Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,612,58,9.5%,66,10.8%,606,58,9.6%,66,10.9%,Y
2016-2017,56,72611,6055834,Ventura,Somis Union,Somis Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,259,122,47.1%,152,58.7%,250,117,46.8%,145,58.0%,Y
2016-2017,56,72652,0000001,Ventura,Ventura Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,10,62.5%,11,68.8%,13,8,61.5%,8,61.5%,Y
2016-2017,56,72652,5630272,Ventura,Ventura Unified,Pacific High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,154,81,52.6%,122,79.2%,127,67,52.8%,101,79.5%,Y
2016-2017,56,72652,5630298,Ventura,Ventura Unified,El Camino High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,262,31,11.8%,79,30.2%,251,29,11.6%,75,29.9%,Y
2016-2017,56,72652,5630348,Ventura,Ventura Unified,Foothill Technology High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1027,149,14.5%,260,25.3%,1011,148,14.6%,256,25.3%,Y
2016-2017,56,72652,5630793,Ventura,Ventura Unified,Buena High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1865,562,30.1%,965,51.7%,1813,541,29.8%,939,51.8%,Y
2016-2017,56,72652,5637822,Ventura,Ventura Unified,Ventura High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2140,675,31.5%,1072,50.1%,2089,662,31.7%,1053,50.4%,Y
2016-2017,56,72652,6056030,Ventura,Ventura Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,343,149,43.4%,231,67.3%,343,149,43.4%,231,67.3%,Y
2016-2017,56,72652,6056055,Ventura,Ventura Unified,Blanche Reynolds Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,354,157,44.4%,228,64.4%,350,154,44.0%,225,64.3%,Y
2016-2017,56,72652,6056063,Ventura,Ventura Unified,E. P. Foster Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,437,237,54.2%,407,93.1%,437,237,54.2%,407,93.1%,Y
2016-2017,56,72652,6056089,Ventura,Ventura Unified,Elmhurst Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,518,238,45.9%,334,64.5%,497,231,46.5%,324,65.2%,Y
2016-2017,56,72652,6056097,Ventura,Ventura Unified,Juanamaria Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,440,132,30.0%,191,43.4%,440,132,30.0%,191,43.4%,Y
2016-2017,56,72652,6056105,Ventura,Ventura Unified,Junipero Serra Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,592,183,30.9%,286,48.3%,580,180,31.0%,280,48.3%,Y
2016-2017,56,72652,6056113,Ventura,Ventura Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,241,107,44.4%,145,60.2%,235,103,43.8%,140,59.6%,Y
2016-2017,56,72652,6056121,Ventura,Ventura Unified,Loma Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,368,86,23.4%,128,34.8%,355,86,24.2%,126,35.5%,Y
2016-2017,56,72652,6056147,Ventura,Ventura Unified,Montalvo Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,433,160,37.0%,275,63.5%,433,160,37.0%,275,63.5%,Y
2016-2017,56,72652,6056154,Ventura,Ventura Unified,Mound Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,574,41,7.1%,88,15.3%,572,40,7.0%,87,15.2%,Y
2016-2017,56,72652,6056170,Ventura,Ventura Unified,Pierpont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,254,52,20.5%,88,34.6%,254,52,20.5%,88,34.6%,Y
2016-2017,56,72652,6056188,Ventura,Ventura Unified,Poinsettia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,496,93,18.8%,156,31.5%,486,93,19.1%,154,31.7%,Y
2016-2017,56,72652,6056204,Ventura,Ventura Unified,Academy of Technology & Leadership at Saticoy,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,358,142,39.7%,211,58.9%,358,142,39.7%,211,58.9%,Y
2016-2017,56,72652,6056212,Ventura,Ventura Unified,Sheridan Way Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,475,294,61.9%,417,87.8%,461,292,63.3%,413,89.6%,Y
2016-2017,56,72652,6056238,Ventura,Ventura Unified,Will Rogers Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,538,218,40.5%,368,68.4%,538,218,40.5%,368,68.4%,Y
2016-2017,56,72652,6060370,Ventura,Ventura Unified,Balboa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1139,317,27.8%,507,44.5%,1139,317,27.8%,507,44.5%,Y
2016-2017,56,72652,6060388,Ventura,Ventura Unified,Cabrillo Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,935,262,28.0%,378,40.4%,935,262,28.0%,378,40.4%,Y
2016-2017,56,72652,6062145,Ventura,Ventura Unified,Anacapa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,922,369,40.0%,558,60.5%,922,369,40.0%,558,60.5%,Y
2016-2017,56,72652,6062152,Ventura,Ventura Unified,De Anza Academy of Technology and the Arts,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,904,440,48.7%,623,68.9%,904,440,48.7%,623,68.9%,Y
2016-2017,56,72652,6097034,Ventura,Ventura Unified,Portola Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,544,228,41.9%,363,66.7%,544,228,41.9%,363,66.7%,Y
2016-2017,56,72652,6115687,Ventura,Ventura Unified,Homestead (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,38,10,26.3%,12,31.6%,38,10,26.3%,12,31.6%,Y
2016-2017,56,72652,6116040,Ventura,Ventura Unified,Citrus Glen Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,614,232,37.8%,311,50.7%,595,225,37.8%,303,50.9%,Y
2016-2017,56,73759,0000000,Ventura,Conejo Valley Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,Adult,14,1,7.1%,1,7.1%,14,1,7.1%,1,7.1%,Y
2016-2017,56,73759,0000001,Ventura,Conejo Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,2,12.5%,2,12.5%,16,2,12.5%,2,12.5%,Y
2016-2017,56,73759,0119396,Ventura,Conejo Valley Unified,Environmental Academy of Research Technology and Earth Sciences,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,5,543,73,13.4%,93,17.1%,543,73,13.4%,93,17.1%,Y
2016-2017,56,73759,0123349,Ventura,Conejo Valley Unified,Century Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,6,12,77,5,6.5%,5,6.5%,75,5,6.7%,5,6.7%,Y
2016-2017,56,73759,5630108,Ventura,Conejo Valley Unified,Conejo Valley High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,103,55,53.4%,62,60.2%,87,48,55.2%,53,60.9%,Y
2016-2017,56,73759,5630116,Ventura,Conejo Valley Unified,Westlake High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2320,308,13.3%,374,16.1%,2250,302,13.4%,367,16.3%,Y
2016-2017,56,73759,5633748,Ventura,Conejo Valley Unified,Newbury Park High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2439,305,12.5%,394,16.2%,2384,298,12.5%,385,16.1%,Y
2016-2017,56,73759,5637004,Ventura,Conejo Valley Unified,Thousand Oaks High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2197,342,15.6%,441,20.1%,2151,339,15.8%,438,20.4%,Y
2016-2017,56,73759,6055842,Ventura,Conejo Valley Unified,Acacia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,336,156,46.4%,193,57.4%,323,149,46.1%,186,57.6%,Y
2016-2017,56,73759,6055859,Ventura,Conejo Valley Unified,Aspen Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,373,57,15.3%,68,18.2%,363,56,15.4%,67,18.5%,Y
2016-2017,56,73759,6055867,Ventura,Conejo Valley Unified,Banyan Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,439,101,23.0%,109,24.8%,439,101,23.0%,109,24.8%,Y
2016-2017,56,73759,6055875,Ventura,Conejo Valley Unified,Madrona Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,434,118,27.2%,142,32.7%,419,114,27.2%,138,32.9%,Y
2016-2017,56,73759,6055891,Ventura,Conejo Valley Unified,Redwood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,891,146,16.4%,198,22.2%,891,146,16.4%,198,22.2%,Y
2016-2017,56,73759,6055909,Ventura,Conejo Valley Unified,Maple Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,315,85,27.0%,103,32.7%,314,85,27.1%,103,32.8%,Y
2016-2017,56,73759,6055917,Ventura,Conejo Valley Unified,Walnut Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,333,121,36.3%,149,44.7%,319,116,36.4%,144,45.1%,Y
2016-2017,56,73759,6055925,Ventura,Conejo Valley Unified,Colina Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,990,237,23.9%,287,29.0%,990,237,23.9%,287,29.0%,Y
2016-2017,56,73759,6055933,Ventura,Conejo Valley Unified,Conejo Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,361,180,49.9%,190,52.6%,361,180,49.9%,190,52.6%,Y
2016-2017,56,73759,6055941,Ventura,Conejo Valley Unified,Glenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,337,194,57.6%,206,61.1%,333,191,57.4%,203,61.0%,Y
2016-2017,56,73759,6055966,Ventura,Conejo Valley Unified,Ladera Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,300,81,27.0%,117,39.0%,300,81,27.0%,117,39.0%,Y
2016-2017,56,73759,6056022,Ventura,Conejo Valley Unified,Weathersfield Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,352,75,21.3%,94,26.7%,344,74,21.5%,93,27.0%,Y
2016-2017,56,73759,6067300,Ventura,Conejo Valley Unified,Sequoia Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1084,246,22.7%,300,27.7%,1084,246,22.7%,300,27.7%,Y
2016-2017,56,73759,6071286,Ventura,Conejo Valley Unified,Westlake Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,543,58,10.7%,63,11.6%,535,58,10.8%,63,11.8%,Y
2016-2017,56,73759,6084933,Ventura,Conejo Valley Unified,Wildwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,414,40,9.7%,46,11.1%,414,40,9.7%,46,11.1%,Y
2016-2017,56,73759,6093165,Ventura,Conejo Valley Unified,Cypress Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,333,18,5.4%,30,9.0%,310,17,5.5%,29,9.4%,Y
2016-2017,56,73759,6093173,Ventura,Conejo Valley Unified,Los Cerritos Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,963,155,16.1%,195,20.2%,963,155,16.1%,195,20.2%,Y
2016-2017,56,73759,6093181,Ventura,Conejo Valley Unified,Westlake Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,492,61,12.4%,74,15.0%,484,60,12.4%,73,15.1%,Y
2016-2017,56,73759,6115760,Ventura,Conejo Valley Unified,Lang Ranch,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,662,38,5.7%,47,7.1%,662,38,5.7%,47,7.1%,Y
2016-2017,56,73759,6118582,Ventura,Conejo Valley Unified,Sycamore Canyon,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,1257,14,1.1%,19,1.5%,1257,14,1.1%,19,1.5%,Y
2016-2017,56,73874,0000001,Ventura,Oak Park Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,0,0.0%,0,0.0%,7,0,0.0%,0,0.0%,Y
2016-2017,56,73874,5630132,Ventura,Oak Park Unified,Oak Park High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1518,55,3.6%,72,4.7%,1483,55,3.7%,72,4.9%,Y
2016-2017,56,73874,5630199,Ventura,Oak Park Unified,Oak View High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,42,7,16.7%,8,19.0%,33,5,15.2%,6,18.2%,Y
2016-2017,56,73874,5630256,Ventura,Oak Park Unified,Oak Park Independent,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,221,12,5.4%,12,5.4%,215,12,5.6%,12,5.6%,Y
2016-2017,56,73874,6055677,Ventura,Oak Park Unified,Brookside Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,582,22,3.8%,40,6.9%,575,22,3.8%,40,7.0%,Y
2016-2017,56,73874,6098255,Ventura,Oak Park Unified,Medea Creek Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1112,36,3.2%,54,4.9%,1112,36,3.2%,54,4.9%,Y
2016-2017,56,73874,6107528,Ventura,Oak Park Unified,Oak Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,502,24,4.8%,29,5.8%,497,23,4.6%,28,5.6%,Y
2016-2017,56,73874,6111496,Ventura,Oak Park Unified,Red Oak Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,600,28,4.7%,37,6.2%,592,28,4.7%,37,6.3%,Y
2016-2017,56,73940,0000001,Ventura,Moorpark Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,66.7%,2,66.7%,3,2,66.7%,2,66.7%,Y
2016-2017,56,73940,0121426,Ventura,Moorpark Unified,IvyTech Charter,Unified School District,High Schools (Public),Traditional,N/A,Yes,1202,Directly funded,Y,7,12,83,12,14.5%,12,14.5%,57,6,10.5%,6,10.5%,Y
2016-2017,56,73940,5630215,Ventura,Moorpark Unified,Community High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,48,20,41.7%,24,50.0%,40,18,45.0%,22,55.0%,Y
2016-2017,56,73940,5630371,Ventura,Moorpark Unified,The High School at Moorpark College,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,11,12,80,6,7.5%,8,10.0%,77,6,7.8%,7,9.1%,Y
2016-2017,56,73940,5633250,Ventura,Moorpark Unified,Moorpark High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1941,411,21.2%,508,26.2%,1879,390,20.8%,485,25.8%,Y
2016-2017,56,73940,6055131,Ventura,Moorpark Unified,Flory Academy of Sciences and Technology,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,462,189,40.9%,233,50.4%,462,189,40.9%,233,50.4%,Y
2016-2017,56,73940,6055149,Ventura,Moorpark Unified,Peach Hill Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,499,143,28.7%,168,33.7%,485,137,28.2%,161,33.2%,Y
2016-2017,56,73940,6102230,Ventura,Moorpark Unified,Chaparral Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,602,189,31.4%,243,40.4%,602,189,31.4%,243,40.4%,Y
2016-2017,56,73940,6106439,Ventura,Moorpark Unified,Campus Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,683,259,37.9%,300,43.9%,673,257,38.2%,298,44.3%,Y
2016-2017,56,73940,6106447,Ventura,Moorpark Unified,Mountain Meadows Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,461,112,24.3%,152,33.0%,455,110,24.2%,149,32.7%,Y
2016-2017,56,73940,6109847,Ventura,Moorpark Unified,Arroyo West Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,467,160,34.3%,197,42.2%,456,157,34.4%,193,42.3%,Y
2016-2017,56,73940,6112189,Ventura,Moorpark Unified,Mesa Verde Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,683,148,21.7%,180,26.4%,683,148,21.7%,180,26.4%,Y
2016-2017,56,73940,6115430,Ventura,Moorpark Unified,Walnut Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,460,159,34.6%,190,41.3%,445,154,34.6%,185,41.6%,Y
2016-2017,56,76828,0000000,Ventura,Santa Paula Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,1,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,Y
2016-2017,56,76828,0000001,Ventura,Santa Paula Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,50.0%,2,100.0%,2,1,50.0%,2,100.0%,Y
2016-2017,56,76828,5635776,Ventura,Santa Paula Unified,Santa Paula High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,1534,888,57.9%,1144,74.6%,1484,859,57.9%,1109,74.7%,Y
2016-2017,56,76828,5636170,Ventura,Santa Paula Unified,Renaissance High,Unified School District,Continuation High Schools,Continuation School,Provision 2,No ,N/A,N/A,N,9,12,118,84,71.2%,101,85.6%,103,74,71.8%,89,86.4%,Y
2016-2017,56,76828,6055545,Ventura,Santa Paula Unified,Barbara Webster Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,391,300,76.7%,353,90.3%,380,292,76.8%,344,90.5%,Y
2016-2017,56,76828,6055552,Ventura,Santa Paula Unified,Blanchard Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,413,291,70.5%,348,84.3%,397,279,70.3%,335,84.4%,Y
